Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Market buy,2022-12-13 16:33:16,IE00BFMXXD54,EPD,"Enterprise Products Partners",,,0.1315800000,24.290000,USD,1.06535940,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:17,US3453708600,F,"Ford Motor",,,0.2360480000,13.540000,USD,1.06536330,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:23,US1380063099,CAJPY,"Canon",,,0.1400560000,22.820000,USD,1.06535930,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:24,US1729674242,C,"Citigroup",,,0.0679000000,47.070000,USD,1.06535100,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:34,CH0114405324,GRMN,"Garmin",,,0.0329120000,97.110000,USD,1.06536144,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:41,US8923313071,TM,"Toyota Motor",,,0.0219421000,145.660000,USD,1.06536209,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-14 08:00:00,ES0140609019,CABK,"CaixaBank",,,0.9090600000,3.300000,EUR,1.00000000,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-14 08:00:02,PTPTI0AM0006,NVG,"Navigator",,,0.8034000000,3.734000,EUR,1.00000000,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-14 08:00:04,IE00BZ163K21,VUCP,"Vanguard USD Corporate Bond (Dist)",,,0.0666090000,45.037000,EUR,1.00000000,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-14 08:00:04,NL0011821202,INGA,"ING Groep",,,0.2614510000,11.474000,EUR,1.00000000,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-14 08:00:08,PTEDP0AM0009,EDP,"EDP - Energias de Portugal",,,0.6432000000,4.664000,EUR,1.00000000,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-14 08:00:10,PTALT0AE0002,ALTR,"Altri",,,0.5617700000,5.340000,EUR,1.00000000,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-14 08:00:13,FR0000131104,BNP,"BNP Paribas",,,0.0556050000,53.790000,EUR,1.00000000,,"EUR",3.00,"EUR",,,,,,,0.01,"EUR"
Market buy,2022-12-14 08:00:13,DE0007664039,VOW3,"Volkswagen  (Preferred)",,,0.0218747000,137.140000,EUR,1.00000000,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-14 08:00:15,PTSON0AM0001,SON,"Sonae",,,3.2170000000,0.932500,EUR,1.00000000,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-14 08:00:19,FR0000120644,BN,"Danone",,,0.0601560000,49.720000,EUR,1.00000000,,"EUR",3.00,"EUR",,,,,,,0.01,"EUR"
Market buy,2022-12-14 08:00:28,PTCTT0AM0001,CTT,"CTT Correios de Portugal",,,0.9287600000,3.230000,EUR,1.00000000,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-14 08:00:38,GB0007188757,RIO,"Rio Tinto",,,0.0450624400,5696.000000,GBX,85.84470175,,"EUR",3.00,"EUR",,,0.01,"EUR",,,,
Market buy,2022-12-14 08:05:09,IE00B8GKDB10,VHYL,"Vanguard FTSE All-World High Dividend Yield (Dist)",,,0.0532360000,56.350000,EUR,1.00000000,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-14 08:05:16,NL0009690239,TRET,"VanEck Global Real Estate (Dist)",,,0.1079390000,37.057000,EUR,1.00000000,,"EUR",4.00,"EUR",,,,,,,,
Market buy,2022-12-14 08:35:48,IE00BJFN5P63,USFR,"WisdomTree USD Floating Rate Treasury Bond (Dist)",,,0.0628780000,50.750000,USD,1.06368616,,"EUR",3.00,"EUR",,,,,,,,
Market sell,2022-12-21 14:42:59,IE00BFMXXD54,EPD,"Enterprise Products Partners",,,0.1315800000,23.470000,USD,1.06123113,-0.09,"EUR",2.91,"EUR",,,,,,,,
Deposit,2022-12-23 16:24:26,,,,,,,,,,,,300.00,"EUR",,,,,,,,
Market buy,2022-12-23 16:25:12,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",,,2.2638250000,66.900000,EUR,1.00000000,,"EUR",151.45,"EUR",,,,,,,,
Market buy,2022-12-23 16:25:13,IE00BYVQ9F29,NQSE,"iShares NASDAQ 100 EUR Hedged (Acc)",,,11.1648300000,6.782000,EUR,1.00000000,,"EUR",75.72,"EUR",,,,,,,,
Market buy,2022-12-23 16:28:30,IE00BYXVGX24,FUSD,"Fidelity US Quality Income (Dist)",,,9.9057900000,7.644000,EUR,1.00000000,,"EUR",75.72,"EUR",,,,,,,,
Dividend (Ordinary),2022-12-29 14:09:39,AN8068571086,VGOV,"Vanguard U.K. Gilt (Dist)",,,0.2350030000,0.032220,GBP,Not available,,,0.01,"EUR",0.00,GBP,,,,,,
Dividend (Ordinary),2022-12-30 14:54:58,PT00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",,,0.1397860000,0.243183,EUR,Not available,,,0.03,"EUR",-0.00,EUR,,,,,,
Dividend (Ordinary),2022-12-30 15:01:33,IE00BZ163K21,VUCP,"Vanguard USD Corporate Bond (Dist)",,,0.1771210000,0.134888,EUR,Not available,,,0.02,"EUR",0.00,EUR,,,,,,
Dividend (Ordinary),2022-12-30 15:03:59,IE00B8GKDB10,VHYL,"Vanguard FTSE All-World High Dividend Yield (Dist)",,,0.1422300000,0.387182,EUR,Not available,,,0.06,"EUR",0.00,EUR,,,,,,
Dividend (Ordinary),2022-12-30 15:05:31,US3755581036,GILD,"Gilead Sciences",,,0.0359790000,0.620500,USD,Not available,,,0.02,"EUR",0.00,USD,,,,,,
