Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Total,Currency (Total)
Interest on cash,2025-12-24 02:03:20,,,,"Interest on cash",e375a02d-03b5-4d01-add7-51d0d040225c,,,,,0.69,"EUR"
Deposit,2025-12-24 10:00:14,,,,"Bank Transfer",634b226d-2ca1-4947-827c-89463c256e43,,,,,600.00,"EUR"
Interest on cash,2025-12-25 02:03:14,,,,"Interest on cash",d36fbfa1-8af7-4d2b-a272-ce812cadfb28,,,,,0.72,"EUR"
Interest on cash,2025-12-26 02:03:14,,,,"Interest on cash",fe0d03c9-d18b-443b-be52-255e2b3cc9c6,,,,,0.72,"EUR"
Interest on cash,2025-12-27 02:03:22,,,,"Interest on cash",0f6c0f72-77e2-41d2-8b61-a9b12936a769,,,,,0.72,"EUR"
Interest on cash,2025-12-28 02:03:15,,,,"Interest on cash",508e0696-71d2-4cc8-a44e-8643e2c7aeee,,,,,0.73,"EUR"
Interest on cash,2025-12-29 02:03:21,,,,"Interest on cash",afdb678e-30c5-464f-b584-556278ae4be0,,,,,0.72,"EUR"
Market buy,2025-12-29 08:05:08,IE00B3WJKG14,QDVE,"iShares S&P 500 Information Technology Sector (Acc)",,EOF44103358694,8.3472454000,35.9400000000,EUR,1.00000000,300.00,"EUR"
Market buy,2025-12-29 08:05:15,IE00BJ0KDQ92,XDWD,"Xtrackers MSCI World",,EOF44103360386,2.4559967200,122.1500000000,EUR,1.00000000,300.00,"EUR"
Interest on cash,2025-12-30 02:03:20,,,,"Interest on cash",3a21280c-7627-42bc-ada8-b999776dd02b,,,,,0.68,"EUR"
Interest on cash,2025-12-31 02:03:13,,,,"Interest on cash",11bf54fd-fdd4-46bb-b14e-ac214a0529cf,,,,,0.69,"EUR"
Interest on cash,2026-01-01 02:03:16,,,,"Interest on cash",22c73bee-c1c4-4b06-bc6c-23b3ea074a50,,,,,0.69,"EUR"
Interest on cash,2026-01-02 02:03:26,,,,"Interest on cash",3a30a0a0-347f-4cd9-8968-8c91efb84a57,,,,,0.68,"EUR"
Interest on cash,2026-01-03 02:03:20,,,,"Interest on cash",d4cdc24e-261d-4398-9e5c-81e97fd11409,,,,,0.69,"EUR"
Interest on cash,2026-01-04 02:03:23,,,,"Interest on cash",33ff43b4-d0b2-447c-b29f-80e96c9a2ed9,,,,,0.69,"EUR"
Interest on cash,2026-01-05 02:03:19,,,,"Interest on cash",3450b147-b0fd-4011-ac72-24f591bed2bf,,,,,0.69,"EUR"
Interest on cash,2026-01-06 02:03:04,,,,"Interest on cash",e5b2982a-17a1-414a-b2b6-532319914ba6,,,,,0.68,"EUR"
Interest on cash,2026-01-07 02:03:14,,,,"Interest on cash",46982a8b-6741-429b-96f2-ae7b1f9ca797,,,,,0.69,"EUR"
Interest on cash,2026-01-08 02:03:12,,,,"Interest on cash",f963a9d8-0c7f-473c-ab66-9e5509fbc601,,,,,0.69,"EUR"
Interest on cash,2026-01-09 02:03:15,,,,"Interest on cash",019ba07e-6238-7d1f-87d4-a04bb86f3f9c,,,,,0.68,"EUR"
Interest on cash,2026-01-10 02:03:23,,,,"Interest on cash",019ba5a4-dd5d-7d7c-94bf-052e7756d304,,,,,0.69,"EUR"
Interest on cash,2026-01-11 02:03:23,,,,"Interest on cash",019baacb-3703-7719-832c-178ddd6820b5,,,,,0.69,"EUR"
Interest on cash,2026-01-12 02:03:15,,,,"Interest on cash",019baff1-74fa-7b89-b52d-ed21445e2d7b,,,,,0.69,"EUR"
Interest on cash,2026-01-13 02:03:03,,,,"Interest on cash",019bb517-a126-7ea4-ac9f-0cfc077f4d10,,,,,0.68,"EUR"
Interest on cash,2026-01-14 02:02:58,,,,"Interest on cash",019bba3d-e8d8-75e2-9f8f-3b6ef56eb700,,,,,0.69,"EUR"
Interest on cash,2026-01-15 02:03:14,,,,"Interest on cash",019bbf64-85ca-742b-bb1d-1740268cd182,,,,,0.69,"EUR"
Interest on cash,2026-01-16 02:03:07,,,,"Interest on cash",019bc48a-c734-77b9-84de-5c34389e60a1,,,,,0.68,"EUR"
Interest on cash,2026-01-17 02:03:10,,,,"Interest on cash",019bc9b1-2ded-7bfd-bc41-6d8474fd8fa3,,,,,0.69,"EUR"
Interest on cash,2026-01-18 02:03:04,,,,"Interest on cash",019bced7-7092-7e3d-91a3-ee0bde44db58,,,,,0.69,"EUR"
Interest on cash,2026-01-19 02:02:59,,,,"Interest on cash",019bd3fd-b873-7587-9520-015e054c27ce,,,,,0.69,"EUR"
Interest on cash,2026-01-20 02:02:59,,,,"Interest on cash",019bd924-14ea-75c5-be4f-4277b50e0a02,,,,,0.69,"EUR"
Interest on cash,2026-01-21 02:02:58,,,,"Interest on cash",019bde4a-6cc1-7c89-ac56-00ab11b71a4f,,,,,0.68,"EUR"
Interest on cash,2026-01-22 02:02:59,,,,"Interest on cash",019be370-cd26-7941-a71b-a55f48e791a4,,,,,0.69,"EUR"
Interest on cash,2026-01-23 02:02:58,,,,"Interest on cash",019be897-26dd-7ca7-9d3d-ebaa3af00a7e,,,,,0.69,"EUR"
Interest on cash,2026-01-24 02:02:59,,,,"Interest on cash",019bedbd-85b8-7ddf-a90c-ccd618c389f7,,,,,0.69,"EUR"
Interest on cash,2026-01-25 02:02:55,,,,"Interest on cash",019bf2e3-d0b8-776e-9f14-8c4f8a8ad3ec,,,,,0.68,"EUR"
Interest on cash,2026-01-26 02:02:58,,,,"Interest on cash",019bf80a-3b0e-70dd-97f2-9068a2eddb17,,,,,0.69,"EUR"
Interest on cash,2026-01-27 02:03:03,,,,"Interest on cash",019bfd30-aaeb-7a97-9a0a-0ca27f3e5d5c,,,,,0.69,"EUR"
Market buy,2026-01-27 09:29:57,NL0011683594,TDIV,"VanEck Morningstar Developed Markets Dividend Leaders",,EOF45701454975,95.0000000000,48.8300000000,EUR,1.00000000,4638.85,"EUR"
Market buy,2026-01-27 09:29:57,NL0011683594,TDIV,"VanEck Morningstar Developed Markets Dividend Leaders",,EOF45701454980,117.0000000000,48.8400000000,EUR,1.00000000,5714.28,"EUR"
Market buy,2026-01-27 09:29:57,NL0011683594,TDIV,"VanEck Morningstar Developed Markets Dividend Leaders",,EOF45701454985,24.4165020000,48.8350000000,EUR,1.00000000,1192.38,"EUR"
Deposit,2026-01-27 10:30:43,,,,"Bank Transfer",019bff01-70d4-7b3c-ba8d-4b50e3bf2bfe,,,,,600.00,"EUR"
Market buy,2026-01-27 10:34:06,IE00B3WJKG14,QDVE,"iShares S&P 500 Information Technology Sector (Acc)",,EOF45701468852,8.4865629400,35.3500000000,EUR,1.00000000,300.00,"EUR"
Market buy,2026-01-27 10:34:08,IE00BJ0KDQ92,XDWD,"Xtrackers MSCI World",,EOF45701468865,2.4335834500,123.2750000000,EUR,1.00000000,300.00,"EUR"
