Reference,Date & Time (UTC),Transaction Type,Amount EUR,Fee EUR,Amount BTC,Fee BTC,BTC Price,Cost Basis (EUR),Destination,Description,Transaction Hash,Note
bddb1354-f2f7-4a06-af89-e592eb4c84d2,Nov 17 2025 19:40:01,Purchase,,,0.02500492,,79200.01,,,Executed target order,,
909b26f4-655d-4db3-87ef-60c63bacf163,Nov 17 2025 19:46:27,Send,,,-0.02510091,,,,bc1q4ug5vwy3tmuxzc0w2w93g9hdz0qxtl44737kvv,,571e7d3a2faa5b8d1e35fc08c783eca2594c5c491122bfb9b78536659f6e351e,
059b8215-e54b-4c76-8867-48797e3660e6,Nov 27 2025 08:54:29,Deposit,600.00,,,,,,,,,
f08451f4-ac82-40f2-bcec-581499187a57,Nov 27 2025 10:00:29,Purchase,-600.00,5.88,0.00749482,,79270.75,600.00,,,,
c876adca-d7da-475d-a248-70a9a49bee1b,Nov 27 2025 10:24:24,Send,,,-0.00749482,,,,bc1qxlxm7clvdva46j8apejpzlczs9gkfgn7a3yqa6,,aafa201a75cfa41b8206eedd222a2360ad05a774ebea81aa1680123a3755d8ed,
9de0d766-fab3-4a74-9552-06ed09acd0f6,Dec 10 2025 23:06:22,Deposit,500.00,,,,,,,,,
d8e59a48-5638-4936-9a47-5a08952e5f97,Dec 10 2025 23:07:03,Purchase,-500.00,4.90,0.00626227,,79060.79,500.00,,,,
366fb551-55be-4a4a-a495-2c8bed0baa33,Dec 10 2025 23:08:15,Send,,,-0.00626227,,,,bc1qkhn4l7wrtguzpevjgswnyrhzsj9702vuvqgvkt,,98a1ad1eb61c92b3b020ac1bf1b65c06a074d7ae93f1e5123d84d4099cf28e17,
092c48ca-f56c-473d-bfea-677e1f384885,Dec 15 2025 18:09:10,Deposit,500.00,,,,,,,,,
91c9d675-f874-40cd-8aca-69cd6ddd4fe2,Dec 15 2025 18:13:20,Purchase,-500.00,4.90,,,72000.09,500.00,,Initiated target order,,
2fa4cc41-de85-45dc-92c8-ea16893ffaeb,Dec 24 2025 09:50:14,Deposit,600.00,,,,,,,,,
cddd9ccf-3400-42fa-b247-6e7634e646d0,Dec 27 2025 10:00:04,Purchase,-600.00,,0.0080611,,74431.53,600.00,,,,
f1783169-e86c-4693-bd8b-fbb2bc4c957c,Dec 27 2025 10:45:32,Send,,,-0.00806110,,,,bc1q7z5uy5cc4mn8yl3r2r9klcpdh04ylzxytnz73k,,e3dd129e68523369088dc843c108f8b027cfd1f39089ce6a6deb38c140a111f7,
